id,label,description
M52-DI-R68,Autres réseaux,Autres réseaux
M52-DI-R7,Aménagement et environnement,Aménagement et environnement
M52-DI-R70,Services communs,Services communs
M52-DI-R71,Aménagement et développement urbain,Aménagement et développement urbain
M52-DI-R72,Logement,Logement
M52-DI-R73,Environnement,Environnement
M52-DI-R731,Actions en matière de traitement des déchets,Actions de traitement des déchets
M52-DI-R738,Autres actions en faveur du milieu naturel,Autres actions en faveur milieu naturel
M52-DI-R74,Aménagement et développement rural,Aménagement et développement rural
M52-DI-R8,Transports,Transports
M52-DI-R80,Services communs,Services communs
M52-DI-R81,Transports scolaires,Transports scolaires
M52-DI-R82,Transports publics de voyageurs,Transports publics de voyageurs
M52-DI-R821,Routier,Routier
M52-DI-R822,Ferroviaire,Ferroviaire
M52-DI-R823,Maritime,Maritime
M52-DI-R824,Fluvial,Fluvial
M52-DI-R825,Aérien,Aérien
M52-DI-R88,Autres,Autres
M52-DI-R9,Développement économique,Développement économique
M52-DI-R90,Services communs,Services communs
M52-DI-R91,Structures d'animation et de développement économique,"Structures animation, développement éco."
M52-DI-R92,Agriculture et pêche,Agriculture et pêche
M52-DI-R921,Laboratoire départemental,Laboratoire départemental
M52-DI-R928,Autres,Autres
M52-DI-R93,"Industrie, commerce et artisanat","Industrie, commerce et artisanat"
M52-DI-R94,Développement touristique,Développement touristique
M52-DI-R95,Maintien et développement des services publics non départementaux,Maintien services publics non départementaux
